Lake County, Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
197811,32.6,-1.7
197812,15.0,-7.0
197901,6.7,-10.3
197902,14.0,-9.0
197903,30.8,-4.6
197904,42.5,-5.6
197905,55.7,-6.5
197906,69.4,-1.9
197907,76.7,0.4
197908,70.3,-4.2
197909,64.2,-1.0
197910,46.3,-4.1
197911,31.8,-2.5
197912,26.5,4.5
198001,16.5,-0.5
198002,19.8,-3.2
198003,30.6,-4.8
198004,51.6,3.5
198005,68.0,5.8
198006,71.0,-0.3
198007,77.5,1.2
198008,72.5,-2.0
198009,61.0,-4.2
198010,45.2,-5.2
198011,34.9,0.6
198012,17.2,-4.8
198101,19.9,2.9
198102,24.3,1.3
198103,38.4,3.0
198104,48.9,0.8
198105,62.8,0.6
198106,69.2,-2.1
198107,77.1,0.8
198108,74.7,0.2
198109,61.9,-3.3
198110,46.9,-3.5
198111,40.7,6.4
198112,19.4,-2.6
198201,7.3,-9.7
198202,19.1,-3.9
198203,30.8,-4.6
198204,45.5,-2.6
198205,64.7,2.5
198206,65.7,-5.6
198207,76.0,-0.3
198208,69.9,-4.6
198209,62.6,-2.6
198210,51.4,1.0
198211,31.2,-3.1
198212,24.3,2.3
198301,21.0,4.0
198302,26.1,3.1
198303,33.9,-1.5
198304,45.3,-2.8
198305,58.4,-3.8
198306,70.1,-1.2
198307,79.9,3.6
198308,79.1,4.6
198309,64.0,-1.2
198310,49.4,-1.0
198311,32.7,-1.6
198312,8.8,-13.2
198401,14.3,-2.7
198402,31.4,8.4
198403,29.8,-5.6
198404,52.5,4.4
198405,60.5,-1.7
198406,70.8,-0.5
198407,76.0,-0.3
198408,77.0,2.5
198409,59.9,-5.3
198410,52.8,2.4
198411,33.8,-0.5
198412,19.6,-2.4
198501,14.3,-2.7
198502,19.3,-3.7
198503,38.7,3.3
198504,50.7,2.6
198505,65.4,3.2
198506,67.1,-4.2
198507,75.3,-1.0
198508,69.8,-4.7
198509,61.5,-3.7
198510,51.1,0.7
198511,25.9,-8.4
198512,10.3,-11.7
198601,19.8,2.8
198602,20.9,-2.1
198603,38.0,2.6
198604,52.4,4.3
198605,64.8,2.6
198606,71.3,0.0
198607,74.9,-1.4
198608,70.6,-3.9
198609,60.0,-5.2
198610,50.0,-0.4
198611,29.2,-5.1
198612,25.0,3.0
198701,21.7,4.7
198702,32.7,9.7
198703,39.6,4.2
198704,60.4,12.3
198705,64.5,2.3
198706,76.3,5.0
198707,77.6,1.3
198708,73.0,-1.5
198709,65.2,0.0
198710,46.3,-4.1
198711,37.3,3.0
198712,25.1,3.1
198801,12.9,-4.1
198802,18.0,-5.0
198803,32.6,-2.8
198804,50.8,2.7
198805,70.1,7.9
198806,77.3,6.0
198807,82.1,5.8
198808,73.0,-1.5
198809,63.1,-2.1
198810,47.1,-3.3
198811,32.2,-2.1
198812,19.9,-2.1
198901,23.0,6.0
198902,15.3,-7.7
198903,28.1,-7.3
198904,45.8,-2.3
198905,64.4,2.2
198906,69.7,-1.6
198907,79.2,2.9
198908,74.3,-0.2
198909,65.0,-0.2
198910,54.3,3.9
198911,29.0,-5.3
198912,10.9,-11.1
199001,25.7,8.7
199002,25.6,2.6
199003,37.1,1.7
199004,50.0,1.9
199005,59.1,-3.1
199006,72.2,0.9
199007,76.1,-0.2
199008,75.7,1.2
199009,65.7,0.5
199010,49.9,-0.5
199011,37.5,3.2
199012,19.2,-2.8
199101,13.7,-3.3
199102,27.9,4.9
199103,35.4,0.0
199104,53.2,5.1
199105,64.9,2.7
199106,73.5,2.2
199107,73.9,-2.4
199108,78.5,4.0
199109,60.4,-4.8
199110,46.2,-4.2
199111,26.9,-7.4
199112,22.5,0.5
199201,21.3,4.3
199202,26.1,3.1
199203,34.1,-1.3
199204,42.8,-5.3
199205,65.6,3.4
